t,x(t),z(t),v_x(t),v_z(t),a_x(t),a_z(t) (added)
0.02,5,-5,0,0,0.8509866,2.876773
0.04,5.000244,-4.999176,0.01216473,0.04112305,0.8516889,2.877473
0.06,5.000731,-4.997531,0.02432015,0.08219244,0.8530878,2.878865
0.08,5.001461,-4.995066,0.0365,0.1232937,0.8551873,2.880937
0.09999999,5.002435,-4.991777,0.04870578,0.1644134,0.8579882,2.883673
0.12,5.003654,-4.987667,0.06094654,0.2055526,0.8614912,2.887049
0.14,5.005118,-4.982732,0.07323067,0.2467189,0.8656983,2.891038
0.16,5.006829,-4.976974,0.08556572,0.2879099,0.8706127,2.895603
0.18,5.00879,-4.970387,0.09800249,0.329275,0.8762403,2.900709
0.2,5.011,-4.962975,0.1104809,0.3705817,0.882578,2.906302
0.22,5.013461,-4.954736,0.1230429,0.4119478,0.8896315,2.912332
0.24,5.016176,-4.945664,0.1357411,0.4535133,0.8974085,2.918744
0.26,5.019146,-4.935763,0.1485049,0.4950245,0.9059072,2.925467
0.28,5.022374,-4.925033,0.1613715,0.5365655,0.9151322,2.932429
0.3,5.025863,-4.913461,0.1744453,0.578458,0.9250962,2.939559
0.32,5.029615,-4.901057,0.1875855,0.6202018,0.9357964,2.946764
0.34,5.033634,-4.887811,0.2009252,0.6622026,0.9472449,2.953959
0.36,5.037921,-4.87373,0.2143648,0.7041001,0.9594399,2.961038
0.38,5.042483,-4.858801,0.2280436,0.7463076,0.9723955,2.967903
0.4,5.047319,-4.843035,0.2418244,0.7883437,0.9861104,2.974434
0.42,5.052438,-4.826417,0.2558862,0.8307537,1.000599,2.980517
0.4400001,5.057838,-4.80896,0.2700477,0.8729006,1.015859,2.986022
0.4600001,5.06353,-4.790648,0.2845402,0.9154957,1.031908,2.990818
0.4800001,5.069512,-4.771495,0.2991233,0.9577106,1.04874,2.994761
0.5000001,5.075795,-4.751483,0.314094,1.000459,1.066379,2.997708
0.52,5.082377,-4.730631,0.3291402,1.04268,1.084813,2.999501
0.54,5.089271,-4.708919,0.3446379,1.085539,1.104068,2.999982
0.56,5.096478,-4.686355,0.3603122,1.128086,1.124143,2.998983
0.58,5.104004,-4.662941,0.3762687,1.170606,1.145045,2.996333
0.6,5.111855,-4.638677,0.3925191,1.213077,1.166779,2.991853
0.6199999,5.120038,-4.613565,0.4090755,1.255471,1.189355,2.985363
0.6399999,5.128557,-4.587607,0.4259497,1.29776,1.212776,2.976675
0.6599999,5.137421,-4.560807,0.4431535,1.339913,1.23705,2.9656
0.6799999,5.146636,-4.533166,0.4606993,1.381896,1.262182,2.951948
0.6999999,5.156209,-4.504691,0.4785991,1.423672,1.288177,2.935524
0.7199998,5.166147,-4.475384,0.4968651,1.465201,1.31504,2.916137
0.7399998,5.176458,-4.445253,0.5155098,1.506442,1.342772,2.893593
0.7599998,5.18715,-4.414304,0.5345452,1.547348,1.371379,2.867702
0.7799998,5.198231,-4.382545,0.5539839,1.587873,1.40086,2.838278
0.7999998,5.209709,-4.349983,0.5738382,1.627966,1.431216,2.80514
0.8199998,5.221592,-4.316629,0.5941205,1.667574,1.462446,2.768112
0.8399997,5.233891,-4.282495,0.614843,1.706641,1.494548,2.727029
0.8599997,5.246612,-4.24759,0.6360185,1.745111,1.527518,2.681735
0.8799997,5.259767,-4.21193,0.6576587,1.782923,1.561349,2.632087
0.8999997,5.273363,-4.175528,0.6797761,1.820014,1.596034,2.577954
0.9199997,5.287412,-4.138399,0.7023827,1.856321,1.631563,2.519224
0.9399996,5.301923,-4.100562,0.7254905,1.89178,1.667922,2.4558
0.9599996,5.316907,-4.062033,0.7491109,1.926321,1.705096,2.387605
0.9799996,5.332373,-4.022834,0.7732558,1.959879,1.743067,2.314587
0.9999996,5.348333,-3.982984,0.7979362,1.992384,1.781813,2.236714
1.02,5.364798,-3.942507,0.8231631,2.023767,1.821308,2.153979
1.04,5.381778,-3.901426,0.8489469,2.05396,1.861521,2.066403
1.06,5.399286,-3.859767,0.875298,2.082892,1.902422,1.974033
1.08,5.417332,-3.817555,0.9022258,2.110497,1.943971,1.876946
